,input_testData,MR_Transformed,output_testInput,output_MR,MR_checker
14635,"[-12, -2, -9, 18]","[-9, -12, 18, -2]",9,27,Violated
14636,"[-14, -14, -6, -11, 19, -15, 8, 15, -14, 12, 15]","[-15, 8, 19, -14, -14, 12, -11, -14, 15, -6, 15]",34,102,Not-violated
14637,"[-19, -8, 3]","[3, -8, -19]",22,66,Not-violated
14638,"[-9, -14, -1, 0, -3, -19, -9, 16]","[-14, 16, -9, -9, -19, 0, -1, -3]",23,69,Violated
14639,"[10, -7, -13, 13, 11, 15, -18, 17, -12, -10, 5]","[-13, 5, 15, 10, -12, 17, 11, 13, -10, -7, -18]",8,24,Violated
14640,"[-18, 10, -12, 9, -1]","[-12, 10, -1, -18, 9]",-18,-54,Not-violated
14641,"[0, -13, -8]","[0, -8, -13]",19,57,Violated
14642,"[4, -20, -9, -8, 5]","[-9, -8, 4, -20, 5]",67,201,Not-violated
14643,"[9, -13, 19, -2, -20, -14, 13, -16, 4, -9, 18]","[4, 18, 9, -9, -2, 19, -20, -14, 13, -13, -16]",5,15,Violated
14644,"[10, -7, -15]","[10, -15, -7]",-95,-285,Not-violated
14645,"[16, -7, -2, -16, -13, 11, -19, -19, -11, -6, -13]","[16, -13, -2, -16, -11, 11, -13, -19, -6, -19, -7]",-68,-204,Not-violated
14646,"[12, 1, -17]","[-17, 1, 12]",-26,-78,Violated
14647,"[-8, -18, -3, 7, 17, -1]","[17, -18, -3, -8, 7, -1]",17,51,Violated
14648,"[2, -11, -1, -2, -20, -11, 4, -14, 3, 14]","[-14, -20, -1, 4, 2, 3, -11, -2, -11, 14]",-21,-63,Violated
14649,"[13, 15, -11, 8, -3, 18, -9, 17, -4]","[-9, 13, -3, -11, 17, 15, 8, -4, 18]",33,99,Not-violated
14650,"[16, -15, -8, 2]","[-8, 2, -15, 16]",31,93,Not-violated
14651,"[7, -10, -2, -1, 13, 14, -9, -1, 9]","[7, 9, -2, -10, -1, 14, -1, -9, 13]",-14,-42,Violated
14652,"[15, -16, 15, 6]","[-16, 15, 15, 6]",11,33,Violated
14653,"[19, 18, 9, -20]","[-20, 9, 19, 18]",-22,-66,Not-violated
14654,"[12, -15, -6, 18, -12, 6, 0, 1]","[-12, 1, -6, 6, 18, 0, -15, 12]",-37,-111,Violated
14655,"[4, 13, -11, 16, 1, 14, 4, -5, -20, -13, 4, 14]","[4, 14, 13, -5, 4, -11, 1, 14, -13, 16, 4, -20]",-15,-45,Violated
14656,"[12, 13, 4]","[13, 12, 4]",37,111,Violated
14657,"[13, -11, 9, 6, 2, 15, 11, -4, -11]","[13, -11, 6, -4, 15, -11, 2, 9, 11]",-23,-69,Not-violated
14658,"[19, 14, -6, 15, 19, -8, 17, -20, 19, 18, -12, 17, 18, 12]","[18, -20, 12, 19, 14, 19, -12, 17, 19, 17, 18, -8, 15, -6]",3,9,Violated
14659,"[-6, -17, 17, -6, 11, -20, 17, 7, 19, -1, 16, -17, -13]","[-6, 16, -6, -17, -20, 17, 19, -1, 7, -13, 11, 17, -17]",-3,-9,Not-violated
14660,"[-4, 14, -14, 11, -14, 15]","[-14, 11, -14, -4, 14, 15]",8,24,Violated
14661,"[11, -3, 5, 7, -1, 19, -10, 16, 4, 14, -1, 8, 6, -12]","[-12, -1, -1, 8, 11, 6, -10, 5, 19, 16, -3, 7, 4, 14]",-32,-96,Not-violated
14662,"[15, -2, 11, -18, 4, -5, 7]","[-5, -18, -2, 4, 15, 11, 7]",-18,-54,Not-violated
14663,"[17, -8, 10, -15, 12, 18, 10, 9, 17, -3, 4, 17]","[18, -15, 9, 12, 17, 4, 17, -8, -3, 17, 10, 10]",-34,-102,Not-violated
14664,"[-7, 2, 2, 0, -20, -7, -7, 7, -9, 2, -19, 10]","[-7, 2, -9, 7, 0, -7, 2, 10, -19, -20, -7, 2]",-7,-21,Not-violated
14665,"[-11, 8, 15, -6]","[8, -11, -6, 15]",-34,-102,Violated
14666,"[2, -2, -5, -11]","[-11, -2, 2, -5]",-67,-201,Not-violated
14667,"[11, -15, -5, 18]","[-5, -15, 18, 11]",7,21,Not-violated
14668,"[-12, -8, 13, 7, 6, -18, 1, -3, 2, 19, -3, 5]","[-3, -8, -3, -12, 1, 19, 5, -18, 6, 13, 7, 2]",0,0,Violated
14669,"[-4, 19, 0, -6, -3]","[19, -3, -4, -6, 0]",62,186,Not-violated
14670,"[-17, -20, -1, -19, 11, 0, -20]","[-19, -20, -17, 0, -1, -20, 11]",-44,-132,Violated
14671,"[-8, -6, 15]","[15, -8, -6]",-21,-63,Violated
14672,"[-8, 9, 15, -4]","[9, -4, -8, 15]",19,57,Violated
14673,"[15, -15, -14, 15, -5, 3, -8, -6, -13, 17, 10]","[3, -14, -8, 15, -15, 10, 17, -6, -13, -5, 15]",45,135,Not-violated
14674,"[3, -16, 15, -11, 7, 7, 12]","[7, -16, 15, 7, -11, 12, 3]",22,66,Violated
14675,"[-4, 0, 8, 1, 9, -16, 16, -16, 14]","[1, 9, -4, -16, 14, 16, 0, -16, 8]",62,186,Not-violated
14676,"[-20, -6, -12, 15]","[-12, -20, -6, 15]",-8,-24,Violated
14677,"[5, -16, -13, -13, 4, 19]","[19, -13, 4, -13, 5, -16]",17,51,Not-violated
14678,"[-18, -20, -6, 1, 13, -18, 6, -9, 19]","[6, 13, -20, -6, -9, -18, 1, -18, 19]",19,57,Not-violated
14679,"[-19, -7, -15, -1]","[-15, -7, -19, -1]",44,132,Not-violated
14680,"[3, 17, 3]","[3, 17, 3]",-21,-63,Not-violated
14681,"[-9, -13, -4, -1, -17, 14, 5, 8, 7, 8]","[14, -9, -13, -4, -17, 8, -1, 8, 5, 7]",-3,-9,Not-violated
14682,"[-2, -2, -1, 3, 1, -12, -11, 8, 18]","[-1, -11, -2, 8, 3, 18, -12, -2, 1]",-45,-135,Violated
14683,"[-15, 7, -13, -8]","[7, -8, -15, -13]",42,126,Violated
14684,"[-1, 19, -14, -7, -7, -8, -14, 11, -15, 5, -3, -13, 19, 8]","[-7, 8, -1, 19, -13, -7, 5, 19, 11, -8, -15, -14, -3, -14]",17,51,Violated
14685,"[-3, 17, -13, -7, 6, 14]","[6, -7, 17, 14, -13, -3]",18,54,Violated
14686,"[-17, 19, -13]","[-17, -13, 19]",9,27,Not-violated
14687,"[-11, 19, 8, 8, -4]","[8, 8, -11, -4, 19]",-34,-102,Violated
14688,"[3, -17, -6, 17, -1, 9, 7, -20, 17, -10, -18, -12, -14, 5]","[-10, -18, 9, -1, 3, 17, -12, -20, 7, -6, 5, 17, -17, -14]",-13,-39,Violated
14689,"[13, 13, -14, -17, 11, -18, 17, 14, -17]","[11, 17, 13, -17, 14, -17, -18, 13, -14]",-57,-171,Violated
14690,"[17, 7, 3, -15, 14, 19, 1, -6]","[1, 14, 3, 17, 7, 19, -15, -6]",0,0,Not-violated
14691,"[-1, -20, 16, 10, -8, 6, -2, 17]","[-20, 10, -1, 17, -8, 6, -2, 16]",-3,-9,Violated
14692,"[-7, 12, -8, -9, 7, -5, -15, 19, 19, -13, 2, 14, 17]","[19, -5, 17, 2, 19, -13, -15, 7, -8, 14, -9, -7, 12]",54,162,Not-violated
14693,"[-5, 10, 4, -4, 2, -13, 12, -19, 8, 0, -18]","[2, -4, 0, 10, 12, 4, -13, -18, 8, -19, -5]",69,207,Violated
14694,"[12, 14, -5, -12, 13, 2, 13, -4, -9, -7, -11, -5, -10]","[13, -5, 12, 13, 14, -5, -4, -10, 2, -9, -7, -12, -11]",-49,-147,Violated
14695,"[-10, 1, -18, 2, 8, 17, 12]","[8, -10, -18, 2, 17, 12, 1]",0,0,Violated
14696,"[19, -12, 10, -18, 5]","[-18, 5, 10, 19, -12]",31,93,Not-violated
14697,"[-4, -1, 7, 7, -8]","[-1, 7, -8, -4, 7]",6,18,Violated
14698,"[-3, 8, -3]","[-3, 8, -3]",-50,-150,Violated
14699,"[14, 15, 2, 3, 19, 4, 19, 7, -6, 4, -3, 8, -9, 17]","[4, 14, 7, 19, 17, -9, 3, -6, 15, 19, 4, -3, 2, 8]",26,78,Violated
14700,"[-15, -11, -16, 7, -19, -13]","[7, -11, -13, -16, -15, -19]",31,93,Violated
14701,"[-14, -10, 16, 7]","[7, -14, -10, 16]",-31,-93,Violated
14702,"[-20, -14, 7, 9, 11, 9, -10, 17, 12, 10]","[17, 9, 9, -14, 12, -10, 7, -20, 11, 10]",22,66,Not-violated
14703,"[-3, 11, 15, 18, -10, -13, 15, -2, 0, 19, 1]","[-3, -10, 19, 11, 0, 18, 1, -13, 15, 15, -2]",-48,-144,Violated
14704,"[4, 19, 7, 9, 4, -5, -14, -2, -9, 4, 6]","[-5, 9, -9, -2, 19, 4, 4, -14, 7, 4, 6]",-46,-138,Violated
14705,"[6, -13, 10, 7, 6, -14, 1, 5, -4, 17, 15]","[10, 6, 15, 1, 7, 17, -13, 5, -14, -4, 6]",19,57,Not-violated
14706,"[11, 15, 18, -8, -7, -15, 13, 8, 5, 15, 4, 2, 19]","[15, 18, 11, -8, 15, 19, 13, -15, 8, -7, 5, 2, 4]",24,72,Violated
14707,"[3, -19, -15, 11, -2, -15, -14, -6]","[-6, 11, -15, -19, -14, -2, -15, 3]",5,15,Not-violated
14708,"[0, 6, 12, 19]","[6, 0, 12, 19]",-14,-42,Violated
14709,"[-18, -14, 1, -10, -16, 10]","[-18, -10, -16, -14, 1, 10]",-23,-69,Not-violated
14710,"[-19, 7, 9, 1, -9, 2, -11, -5, -2]","[-5, 2, -9, 9, -19, 7, 1, -2, -11]",-28,-84,Violated
14711,"[4, 5, -15, 17, 17, 2, 7, -17, -7]","[17, 4, 5, -7, 17, -17, 2, -15, 7]",-17,-51,Violated
14712,"[11, 13, -3, 2, 12, -2, 4, 6, 4]","[12, 13, -2, 6, 4, 11, 4, -3, 2]",75,225,Not-violated
14713,"[14, -17, -6, 16, -12, 11, 16]","[16, 16, 14, -17, 11, -6, -12]",53,159,Not-violated
14714,"[-6, -9, 3, 17, 11, -6, -16]","[3, -16, -6, -6, -9, 11, 17]",14,42,Not-violated
14715,"[-10, -15, -17, 8, 9, -20, -5]","[-15, -17, -10, 8, 9, -20, -5]",0,0,Not-violated
14716,"[-15, 0, -9, 1, 6, -1, 12, -14, 15, 18, -17, 2, 5, -3]","[2, -15, -9, 6, 5, -1, 12, -14, -17, 0, 15, 1, 18, -3]",49,147,Violated
14717,"[9, 19, -5, 3, 6, -20, -10, -9, -2, -18, 8, 14, -12]","[-5, 3, -9, -12, 9, -2, -18, -10, 6, 8, 14, -20, 19]",-35,-105,Violated
14718,"[9, 8, 1, 11, -16, 6, 15, 11, -15]","[6, 11, 9, 11, 15, 8, -16, 1, -15]",19,57,Not-violated
14719,"[-13, -7, -18, 7, -14, -15, -3, 2, 3]","[-13, -18, -14, 3, 2, -15, 7, -7, -3]",66,198,Not-violated
14720,"[7, -2, 15]","[-2, 7, 15]",-45,-135,Violated
14721,"[-9, 14, -11, -20, -10]","[-9, 14, -11, -10, -20]",-25,-75,Not-violated
14722,"[10, 19, 10, 12]","[10, 12, 19, 10]",-71,-213,Violated
14723,"[8, -7, 17, -8, 1, -15, 0, 5, 5, 5, 14, -3, -11, -5]","[5, -5, 14, 1, 5, -7, 17, -11, 0, 5, -8, 8, -15, -3]",-30,-90,Violated
14724,"[6, 17, 0, 19, -15, 17, -12, -19, -10, -12, -19, 0, 18]","[17, -12, -19, -12, 18, 0, 19, 0, 17, -15, 6, -19, -10]",35,105,Not-violated
14725,"[1, -5, 19, 2]","[19, 1, 2, -5]",-45,-135,Violated
14726,"[-1, 3, 1, 1, -7, -4, -8, 15, 3]","[-1, 3, -4, -8, 1, 1, 3, 15, -7]",14,42,Not-violated
14727,"[14, -14, 12, 12, 14]","[14, 12, 12, 14, -14]",21,63,Violated
14728,"[-6, 11, 2, -2]","[11, -2, -6, 2]",-32,-96,Violated
14729,"[-2, -11, -9]","[-9, -2, -11]",48,144,Not-violated
14730,"[4, -20, 2, -19, -17, -20]","[-17, -19, -20, -20, 2, 4]",1,3,Violated
14731,"[4, -20, 10, -1, 19]","[19, 10, -20, -1, 4]",-21,-63,Not-violated
14732,"[17, 13, -17, -15, -7, 10, -14, 17]","[-14, -17, -7, 17, 13, 10, -15, 17]",-17,-51,Violated
14733,"[-11, 7, 3, -4, -4, -1, -9, 9, -17, 3, 17]","[9, -4, 3, -4, -17, -11, 17, -9, 3, -1, 7]",3,9,Violated
14734,"[-5, 2, 6, 8, 1, -17, 17, 4, 14, 8, -17, -8]","[-17, -5, -8, 8, 1, 2, 8, 17, 4, -17, 6, 14]",47,141,Not-violated
14735,"[-14, -10, -9, 11, -6, 1, 7, 12, 18, -11]","[-6, 12, 7, -11, 11, -10, 1, 18, -14, -9]",6,18,Not-violated
14736,"[4, -17, -18, -19, 8, 16, 1, 16, 18]","[16, 1, -19, 4, -18, 8, 18, 16, -17]",18,54,Not-violated
14737,"[13, -16, 1, -14, 0, 9, 19, -4, 17, 8, 5, 1]","[17, -4, 1, -14, 13, -16, 9, 1, 19, 0, 8, 5]",-32,-96,Violated
14738,"[-13, 19, 18, 13, 2, -18, -11, -20, 11, -6, 16, 14, 2, -3]","[-13, 2, -18, 19, -6, -11, 2, -20, 11, -3, 14, 18, 16, 13]",20,60,Not-violated
14739,"[12, 18, -1, -10, 13, 18, 12, -12, -18, -17, 15, 11, -13]","[12, -10, -1, 13, -12, 18, -13, -18, 18, 15, 11, -17, 12]",5,15,Not-violated
14740,"[-1, -8, -20, -13, -8, -7, -3, 4, -1, -17, 10, 5, 16]","[-8, -17, -13, -7, -20, -1, -8, -1, 5, 10, -3, 16, 4]",9,27,Violated
14741,"[4, -3, 2, -17]","[2, -17, -3, 4]",2,6,Violated
14742,"[18, -1, 14, -7, 6, -5, 11, -13, -13]","[14, 6, -13, -13, -7, 18, -5, -1, 11]",-24,-72,Not-violated
14743,"[11, -18, 18, 7, 11, -4, -9, -15, -17, 7, 3, 5]","[-15, -17, -9, 7, -18, -4, 3, 18, 11, 5, 11, 7]",-101,-303,Violated
14744,"[9, 17, -2, -15, 7, 19, 13, -3, 13]","[19, 17, 7, 9, 13, -2, -3, 13, -15]",3,9,Not-violated
14745,"[-15, -4, 3, 17, -1, 9, -6, -20, 11, 9]","[-15, 9, 9, -20, -1, 17, -4, -6, 3, 11]",26,78,Not-violated
14746,"[18, 8, 5, 12, -13, -8]","[5, -8, -13, 8, 12, 18]",18,54,Not-violated
14747,"[-9, -13, 6, 3, 1, 8, 8, 17, 9, -3, 5]","[8, 1, 6, -9, 5, 8, 9, -3, 17, -13, 3]",-26,-78,Violated
14748,"[-6, 8, 10, 0, -7, -7, 7, -16]","[0, 7, -6, -16, 8, 10, -7, -7]",12,36,Violated
14749,"[-17, -8, -11, 1, -12, 9, -14]","[-11, -14, -12, -8, 1, 9, -17]",-20,-60,Violated
14750,"[14, 15, 2, 9]","[14, 9, 2, 15]",37,111,Not-violated
14751,"[8, -5, -17, -13, -10, 19, -5, 16, -16, 13, 6, -12]","[16, 8, 13, -5, -5, -13, 6, -10, 19, -17, -12, -16]",-13,-39,Violated
14752,"[8, -18, 16, -8, -5, 18, -5]","[-18, 18, -5, 16, -5, -8, 8]",-34,-102,Not-violated
14753,"[12, 19, -19, -11, -12, 10]","[19, -19, 10, 12, -12, -11]",51,153,Violated
14754,"[2, -1, -9, -10, -19, 3, 11, -17, -8, 2, -12]","[-19, -1, -17, -10, -8, 3, 2, 11, -9, 2, -12]",7,21,Violated
14755,"[12, -6, -8, -2, 13, -20, -1, -15, -20, 1, -20, 15]","[12, -8, -2, 13, 15, -20, -20, -15, -6, -1, -20, 1]",-36,-108,Violated
14756,"[-9, -12, 19, -19, 9, 11, -9, -20, 7, -16, 14, 7]","[11, -19, -9, 7, -16, -12, 14, 19, 9, 7, -9, -20]",-8,-24,Not-violated
14757,"[3, 5, 9, 17, -17, 5, 17, 13, -3, 18, 7, -15, -13]","[7, 5, 17, 18, -13, 5, -3, 9, 13, -17, 17, -15, 3]",24,72,Not-violated
14758,"[-19, -16, 14, 18, -9, -13, -2, -7, -4, -4]","[14, -4, -7, 18, -16, -9, -4, -2, -19, -13]",-85,-255,Violated
14759,"[5, 8, -19]","[-19, 8, 5]",6,18,Not-violated
14760,"[15, 19, 16, 4, 13]","[15, 16, 19, 4, 13]",-22,-66,Not-violated
14761,"[2, -4, -4, -20, -10, 11, 17, 17, 19, 3]","[-10, -4, -20, -4, 19, 11, 2, 17, 3, 17]",-9,-27,Violated
14762,"[-14, -19, -6, -9, -11, -8, -3, -20, 9, 18, -5, 14, 17, 4]","[-8, -11, 4, 9, -20, 14, -3, -6, 18, -19, -5, 17, -9, -14]",-33,-99,Not-violated
14763,"[12, 15, -11, -4, -9, -7, 4, -3, -10, -9, 6, 5, 3, -2]","[-10, 15, 5, -11, 4, 3, -7, 12, -9, -4, 6, -9, -2, -3]",-29,-87,Violated
14764,"[-6, -14, -12, -19, -2, 18, 19, 18, -6, -13, -17, 11]","[-12, -14, -6, -17, -19, 11, 19, 18, 18, -13, -2, -6]",26,78,Not-violated
14765,"[-20, -6, 16]","[-6, 16, -20]",7,21,Violated
14766,"[-15, 2, 12]","[12, 2, -15]",-34,-102,Violated
14767,"[12, -4, 5, 12, 11, -3]","[12, 11, 12, -4, 5, -3]",45,135,Not-violated
14768,"[-19, 10, 6, -4, -8, 18, -5, -19, -3, -16, -15, 2]","[18, 6, 2, -16, -4, -5, -8, -15, -3, -19, -19, 10]",-24,-72,Violated
14769,"[6, 13, 4, 0, 14, 0, 19, 14, -1, -9]","[13, -1, 0, 4, -9, 14, 0, 6, 19, 14]",-47,-141,Not-violated
14770,"[5, -1, -14, 15, -12, -13, 15, 17]","[-14, 5, -1, 15, 15, -13, 17, -12]",13,39,Not-violated
14771,"[-12, -14, 15, 10, -2, 5, -1, 12]","[10, 5, -14, 15, -12, 12, -1, -2]",5,15,Not-violated
14772,"[-1, 4, -12, 8, 8]","[8, -12, 8, 4, -1]",-7,-21,Not-violated
14773,"[4, 14, 5, -2, -8, -11, -20, -12, -4, -17, -8]","[-4, -17, -2, 5, 4, -11, -8, 14, -12, -20, -8]",-12,-36,Violated
14774,"[3, 18, -5, 11, -19, -20]","[3, -20, 18, -19, -5, 11]",9,27,Not-violated
14775,"[12, 1, -4, 1]","[12, 1, -4, 1]",58,174,Not-violated
14776,"[6, 16, -13, -10, 8, -19, -16, -3]","[-10, -3, 16, -19, 6, -13, 8, -16]",-68,-204,Violated
14777,"[-9, 8, -11, 0, 3, -5, 2, 6, -9, 2, -13, -6, -9]","[8, 6, -9, -9, -11, 2, 0, -13, 2, -5, -6, 3, -9]",-12,-36,Violated
14778,"[0, 15, -18, 3, 18]","[18, -18, 3, 15, 0]",15,45,Not-violated
14779,"[1, -1, 3, 5, -5, -13, 11]","[3, -13, 5, 1, -1, -5, 11]",-34,-102,Not-violated
14780,"[-18, 3, 11, 19, 13, -1, -19, 19, -16, -5, -3]","[3, 19, 13, -5, -3, -16, 11, -18, -1, 19, -19]",-30,-90,Violated
14781,"[1, -11, -8, -5, -16, -13, -8, 5, 4, 10, -9, 14]","[4, 10, 14, -5, -9, -11, 1, -8, 5, -16, -8, -13]",-45,-135,Violated
14782,"[-7, -11, 14, 4, -14, 0, -20, -15, -18]","[0, -14, 14, -18, -15, 4, -20, -11, -7]",30,90,Not-violated
14783,"[-20, -16, 13, -10, 9, 14]","[9, 13, -10, -16, 14, -20]",-89,-267,Violated
14784,"[3, 1, 10]","[1, 10, 3]",70,210,Not-violated
14785,"[7, 0, 8, 3, 4]","[4, 8, 0, 7, 3]",-114,-342,Not-violated
14786,"[-9, 4, 12, 14, -18, -13, -19, -1, -4, 17, -13, 8, 6, -2]","[6, -19, -13, -9, 12, 17, -18, -13, 8, 4, -2, -1, 14, -4]",14,42,Violated
14787,"[0, 3, 2, 3, 17, -9, -7, 13, -7, -3, 17]","[-3, -9, 0, -7, 3, 2, 17, 17, -7, 3, 13]",-43,-129,Not-violated
14788,"[-16, -18, -11, -12]","[-18, -11, -12, -16]",35,105,Not-violated
14789,"[9, 9, -7, 7, -11, 0, -9, -2, 5, -18, -1, 17]","[-9, 7, -11, -7, 9, -18, 5, -2, 9, 0, 17, -1]",-51,-153,Violated
14790,"[8, -17, 0, -8, -8, -2, -18, 5, -2, -10]","[-2, 8, 0, -18, -17, -8, -8, -10, -2, 5]",-14,-42,Not-violated
14791,"[3, 13, 1, -17, -20, -12, 19, 14, 16, 7, -2, 10, -19]","[1, 10, -2, -12, 14, 16, -20, -17, 7, -19, 13, 3, 19]",-55,-165,Violated
14792,"[1, -4, 19, -20, -2, -3, -20, 13, -4, -16, 7, -12]","[-4, -20, 7, -4, -2, 13, 1, -20, 19, -16, -12, -3]",-20,-60,Not-violated
14793,"[-13, 4, 17, 6, -11]","[6, 4, 17, -13, -11]",-31,-93,Violated
14794,"[-13, -20, 4, -12, -20, -7, 5, -13, 0, 11, -14]","[-20, 4, 5, -14, -20, -13, 0, -13, -7, -12, 11]",-47,-141,Violated
14795,"[13, 16, -3, -4, 4, -17, 1, -5, -3, 12, -2, 2]","[12, -2, -17, 1, 16, -4, 13, 4, -3, -3, 2, -5]",-10,-30,Violated
14796,"[-1, -3, 9, 16, 17, -12, -9, -11, 6, -11]","[9, -12, 17, -11, 6, -9, -11, -3, -1, 16]",37,111,Violated
14797,"[18, -16, 10, 9, 3, -16, -11, 10, -3, -18, 16, -11]","[3, -16, -3, -11, 10, 16, 10, -16, 18, 9, -18, -11]",-29,-87,Violated
14798,"[7, 11, 5]","[11, 7, 5]",-14,-42,Violated
14799,"[-4, 17, -7, 12]","[-4, 17, 12, -7]",-24,-72,Not-violated
14800,"[-11, -16, 7, 7]","[7, 7, -11, -16]",3,9,Not-violated
14801,"[13, -15, -19, 12, -12]","[-12, -15, 13, 12, -19]",12,36,Not-violated
14802,"[18, -12, -18]","[18, -12, -18]",30,90,Violated
14803,"[-19, -11, -16, 11, -11, 12, -18, -13, -15, -2, 18, -6, 1]","[-19, -16, -15, 18, 12, -11, -18, -6, -2, -11, 1, -13, 11]",-10,-30,Violated
14804,"[-8, -16, 6]","[6, -8, -16]",-32,-96,Violated
14805,"[9, 16, 9, -5, -6, 1, 16, 10, -8, 18, 11, 8, -8, 13]","[9, 8, -5, -6, 1, 16, 13, 10, 18, -8, 9, -8, 16, 11]",31,93,Not-violated
14806,"[-2, -3, -10, 19, -4, 6, 13, -18, 15, -17]","[-3, -17, -10, 6, 15, 19, -2, -4, -18, 13]",37,111,Not-violated
14807,"[-3, -6, 13, 19, 18, -15, -6, 6, 15, 18, 5, 16, -4, 11]","[-6, 15, -4, 18, 13, 16, -6, 19, 5, -3, -15, 11, 18, 6]",-4,-12,Not-violated
14808,"[-11, -1, 12, -18, 13, 0, 0, -5]","[-1, -5, 12, 13, -18, 0, 0, -11]",64,192,Not-violated
14809,"[18, 0, 8, -11, 9, -2, 1]","[-2, 8, 1, 9, 18, -11, 0]",0,0,Violated
14810,"[4, -17, 2, -13, -12, -11]","[-17, -11, 4, -12, 2, -13]",-29,-87,Not-violated
14811,"[-12, -3, 5, 4, 9, 7, 13, -10, -4, 9, -13, -11, -19, -16]","[-12, 13, 7, -11, 4, -19, 5, -3, -13, -16, 9, -10, 9, -4]",-7,-21,Violated
14812,"[8, -7, 19, 11, 11]","[19, 8, -7, 11, 11]",-8,-24,Violated
14813,"[-8, -19, 18, 7, 12, -18, 14, -13, 15, 17, 12]","[18, 17, -8, -13, 12, -19, -18, 14, 7, 12, 15]",-43,-129,Violated
14814,"[6, -9, 19, 8, 11, 9, -8, -19, -20, -16, -18, -3, 3]","[19, -19, -20, -9, 11, 9, -3, 3, 8, -8, -18, -16, 6]",-28,-84,Violated
14815,"[-6, -16, 11, -12, 11, 15, 14, 19, -7, 17]","[19, -7, 17, 14, 11, 11, -16, -12, -6, 15]",-25,-75,Violated
14816,"[11, -17, 2, -16]","[-17, 2, -16, 11]",-2,-6,Violated
14817,"[-8, 11, -1, -19, -10, -18, -13, 19, -10, -5]","[19, -1, -5, -13, -18, -19, 11, -8, -10, -10]",28,84,Not-violated
14818,"[-15, 12, 7, 2, 0, 5, -4, 10]","[5, -15, 7, 12, 10, 2, -4, 0]",50,150,Not-violated
14819,"[16, -19, 7, 1, -9, -9, 5, -9, 15, 2, 14, 1, 11]","[1, 15, -9, 5, 1, 7, -9, 2, 14, 16, -19, 11, -9]",47,141,Not-violated
14820,"[17, -20, 2, -4, 15, 14]","[-4, 17, 14, 2, -20, 15]",-16,-48,Violated
14821,"[17, 14, -12, 17, 17, 14, -6, -16]","[-16, -6, 14, 17, -12, 14, 17, 17]",35,105,Violated
14822,"[-14, 9, -3, 3, 1, -8, 6, -4, 9]","[1, -4, 6, 3, 9, -14, -8, -3, 9]",-64,-192,Not-violated
14823,"[0, -13, -2, -11, 1, -10]","[-11, 1, -10, -13, -2, 0]",22,66,Not-violated
14824,"[-15, 11, 0, 14, 15, 2, -4, 9, 6, -5, -18, -6, -8, 2]","[-5, -15, 2, 6, 14, 0, 2, -4, -8, -6, 15, -18, 9, 11]",-34,-102,Not-violated
14825,"[-14, -6, -2, 12, 17, -2, -17, -17, -19]","[-17, -19, 17, -6, 12, -17, -14, -2, -2]",-34,-102,Violated
14826,"[-19, -2, 11]","[-2, 11, -19]",-5,-15,Not-violated
14827,"[-7, 2, -20, -13, 5, 4]","[2, 4, -13, 5, -7, -20]",-27,-81,Not-violated
14828,"[-3, 10, 8, -3, -20, -4, 3]","[8, -20, -3, 10, -4, 3, -3]",-51,-153,Violated
14829,"[1, -18, 4, 16, -17, 14]","[4, 1, -18, -17, 16, 14]",40,120,Violated
14830,"[8, 9, -19, 3, -9, -1, 0, -10, -7, 16, -7, 12, -11]","[-9, 12, -11, -7, 9, 16, 8, -10, 0, -7, 3, -19, -1]",-28,-84,Violated
14831,"[-14, 2, 18, 13, 7, -1, 0, 15, -8, 2]","[-14, 2, 15, 0, 13, 7, 2, -1, 18, -8]",-36,-108,Violated
14832,"[10, -17, -10, 6]","[6, -10, 10, -17]",-52,-156,Violated
14833,"[9, 6, -8, -6, 9, -18, 8, -8, -7, 4, -1, 17, -1]","[-8, -7, -18, -1, 9, -6, -8, 4, 8, 6, 9, -1, 17]",-54,-162,Violated
14834,"[5, 9, 15, -16, -17, -1, -3, -18, -2]","[-18, -3, -16, 15, -17, -1, 5, -2, 9]",50,150,Not-violated
14835,"[-17, 11, 12, 8, -20, -20, -20, 2, -9, -9]","[2, -20, 12, -20, 8, -9, -17, -20, -9, 11]",-61,-183,Not-violated
14836,"[1, -6, 9, 8, -16, 9, -18, -9, 7, -19, 15, -1, 8, 3]","[-18, 15, -9, 8, -6, -16, 3, 8, 9, 7, 9, -1, 1, -19]",-78,-234,Violated
14837,"[-7, -20, 10, 10, -1, -11, -16, 1, -14, 18, -13, -7]","[1, -14, 10, -1, -7, -11, -7, -16, 10, -13, -20, 18]",-47,-141,Violated
14838,"[14, 2, 4, 15, 15, 13, -4, -12, -10, 10, -3, -20, -18]","[2, 14, 15, -10, 10, -3, 4, -4, -12, 15, 13, -20, -18]",24,72,Violated
14839,"[19, -5, 8, 7, -10, -17, -7]","[-10, 19, -5, -7, 8, -17, 7]",8,24,Not-violated
14840,"[2, -8, -12, 3, 15, -10, 12, -19, -20, -7, -16, -15, 6, 11]","[-16, -19, 15, -10, 2, -12, -15, 3, -8, -20, 12, 11, -7, 6]",2,6,Violated
14841,"[15, -18, -7, -7, 1, 9]","[-18, -7, -7, 15, 9, 1]",-58,-174,Violated
14842,"[1, -4, 18, -13, 19, 9, -7]","[-13, -7, 1, 18, -4, 19, 9]",-33,-99,Not-violated
