input_a,input_b,output
"[[0.648, 0.475], [0.039, 0.022]]","[[0.585, 0.329], [0.214, 0.813]]","[[1.233, 0.804], [0.253, 0.835]]"
"[[0.134, 0.656], [0.534, 0.282]]","[[0.742, 0.312], [0.333, 0.975]]","[[0.876, 0.968], [0.867, 1.257]]"
"[[0.262, 0.234], [0.614, 0.443]]","[[0.993, 0.212], [0.988, 0.804]]","[[1.255, 0.446], [1.6019999999999999, 1.247]]"
"[[0.996, 0.419], [0.521, 0.066]]","[[0.806, 0.377], [0.671, 0.663]]","[[1.802, 0.796], [1.1920000000000002, 0.7290000000000001]]"
"[[0.742, 0.771], [0.743, 0.903]]","[[0.168, 0.152], [0.227, 0.803]]","[[0.91, 0.923], [0.97, 1.706]]"
"[[0.65, 0.989], [0.609, 0.052]]","[[0.316, 0.329], [0.526, 0.382]]","[[0.966, 1.318], [1.135, 0.434]]"
"[[0.016, 0.526], [0.758, 0.582]]","[[0.224, 0.935], [0.376, 0.342]]","[[0.24, 1.461], [1.134, 0.9239999999999999]]"
"[[0.976, 0.707], [0.851, 0.904]]","[[0.064, 0.478], [0.29, 0.875]]","[[1.04, 1.185], [1.141, 1.779]]"
"[[0.27, 0.874], [0.321, 0.074]]","[[0.977, 0.771], [0.842, 0.483]]","[[1.2469999999999999, 1.645], [1.163, 0.5569999999999999]]"
"[[0.802, 0.437], [0.929, 0.317]]","[[0.272, 0.945], [0.981, 0.455]]","[[1.074, 1.382], [1.9100000000000001, 0.772]]"
"[[0.692, 0.055], [0.037, 0.168]]","[[0.236, 0.589], [0.515, 0.429]]","[[0.9279999999999999, 0.644], [0.552, 0.597]]"
"[[0.049, 0.829], [0.148, 0.406]]","[[0.838, 0.553], [0.373, 0.55]]","[[0.887, 1.3820000000000001], [0.521, 0.9560000000000001]]"
"[[0.584, 0.117], [0.374, 0.134]]","[[0.692, 0.277], [0.268, 0.159]]","[[1.2759999999999998, 0.394], [0.642, 0.29300000000000004]]"
"[[0.92, 0.966], [0.599, 0.223]]","[[0.773, 0.593], [0.847, 0.507]]","[[1.693, 1.559], [1.446, 0.73]]"
"[[0.609, 0.754], [0.486, 0.516]]","[[0.915, 0.504], [0.187, 0.364]]","[[1.524, 1.258], [0.673, 0.88]]"
"[[0.489, 0.686], [0.827, 0.901]]","[[0.312, 0.926], [0.768, 0.205]]","[[0.8009999999999999, 1.612], [1.595, 1.106]]"
"[[0.354, 0.294], [0.765, 0.516]]","[[0.717, 0.759], [0.834, 0.139]]","[[1.071, 1.053], [1.599, 0.655]]"
"[[0.294, 0.595], [0.007, 0.997]]","[[0.36, 0.929], [0.43, 0.411]]","[[0.6539999999999999, 1.524], [0.437, 1.408]]"
"[[0.637, 0.291], [0.359, 0.815]]","[[0.162, 0.117], [0.414, 0.909]]","[[0.799, 0.408], [0.7729999999999999, 1.724]]"
"[[0.681, 0.562], [0.339, 0.552]]","[[0.287, 0.866], [0.545, 0.163]]","[[0.968, 1.428], [0.8840000000000001, 0.7150000000000001]]"
"[[0.837, 0.834], [0.544, 0.923]]","[[0.837, 0.439], [0.898, 0.727]]","[[1.674, 1.273], [1.4420000000000002, 1.65]]"
"[[0.128, 0.322], [0.318, 0.204]]","[[0.962, 0.104], [0.094, 0.363]]","[[1.0899999999999999, 0.426], [0.41200000000000003, 0.567]]"
"[[0.633, 0.6], [0.004, 0.639]]","[[0.485, 0.164], [0.716, 0.37]]","[[1.1179999999999999, 0.764], [0.72, 1.009]]"
"[[0.204, 0.468], [0.897, 0.338]]","[[0.527, 0.938], [0.489, 0.766]]","[[0.731, 1.406], [1.3860000000000001, 1.104]]"
"[[0.348, 0.962], [0.854, 0.423]]","[[0.925, 0.833], [0.099, 0.273]]","[[1.2730000000000001, 1.795], [0.953, 0.696]]"
"[[0.583, 0.365], [0.171, 0.84]]","[[0.969, 0.618], [0.029, 0.681]]","[[1.552, 0.983], [0.2, 1.521]]"
"[[0.179, 0.485], [0.271, 0.411]]","[[0.333, 0.098], [0.408, 0.522]]","[[0.512, 0.583], [0.679, 0.933]]"
"[[0.094, 0.713], [0.38, 0.371]]","[[0.806, 0.614], [0.231, 0.332]]","[[0.9, 1.327], [0.611, 0.7030000000000001]]"
"[[0.821, 0.351], [0.093, 0.132]]","[[0.435, 0.373], [0.94, 0.45]]","[[1.256, 0.724], [1.033, 0.5820000000000001]]"
"[[0.581, 0.028], [0.906, 0.873]]","[[0.121, 0.756], [0.649, 0.553]]","[[0.702, 0.784], [1.5550000000000002, 1.4260000000000002]]"
"[[0.199, 0.131], [0.512, 0.691]]","[[0.79, 0.197], [0.944, 0.741]]","[[0.9890000000000001, 0.328], [1.456, 1.432]]"
"[[0.859, 0.13], [0.581, 0.622]]","[[0.747, 0.748], [0.186, 0.176]]","[[1.6059999999999999, 0.878], [0.7669999999999999, 0.798]]"
"[[0.915, 0.701], [0.1, 0.872]]","[[0.611, 0.039], [0.047, 0.022]]","[[1.526, 0.74], [0.14700000000000002, 0.894]]"
"[[0.826, 0.883], [0.443, 0.292]]","[[0.939, 0.682], [0.197, 0.865]]","[[1.765, 1.565], [0.64, 1.157]]"
"[[0.875, 0.144], [0.786, 0.058]]","[[0.6, 0.542], [0.042, 0.779]]","[[1.475, 0.686], [0.8280000000000001, 0.8370000000000001]]"
"[[0.641, 0.492], [0.353, 0.427]]","[[0.743, 0.483], [0.62, 0.66]]","[[1.384, 0.975], [0.973, 1.087]]"
"[[0.237, 0.336], [0.3, 0.324]]","[[0.538, 0.035], [0.522, 0.52]]","[[0.775, 0.371], [0.8220000000000001, 0.8440000000000001]]"
"[[0.487, 0.049], [0.157, 0.442]]","[[0.693, 0.03], [0.014, 0.569]]","[[1.18, 0.079], [0.171, 1.011]]"
"[[0.754, 0.644], [0.312, 0.684]]","[[0.873, 0.607], [0.048, 0.283]]","[[1.627, 1.251], [0.36, 0.9670000000000001]]"
"[[0.781, 0.676], [0.586, 0.832]]","[[0.252, 0.456], [0.522, 0.596]]","[[1.033, 1.1320000000000001], [1.108, 1.428]]"
"[[0.981, 0.235], [0.503, 0.953]]","[[0.454, 0.11], [0.444, 0.068]]","[[1.435, 0.345], [0.9470000000000001, 1.021]]"
"[[0.059, 0.209], [0.698, 0.974]]","[[0.533, 0.547], [0.433, 0.571]]","[[0.5920000000000001, 0.756], [1.131, 1.545]]"
"[[0.912, 0.845], [0.234, 0.165]]","[[0.074, 0.156], [0.877, 0.992]]","[[0.986, 1.001], [1.111, 1.157]]"
"[[0.841, 0.892], [0.102, 0.977]]","[[0.494, 0.721], [0.756, 0.486]]","[[1.335, 1.613], [0.858, 1.463]]"
"[[0.77, 0.712], [0.276, 0.401]]","[[0.874, 0.123], [0.105, 0.354]]","[[1.6440000000000001, 0.835], [0.381, 0.755]]"
"[[0.338, 0.858], [0.754, 0.865]]","[[0.638, 0.308], [0.558, 0.077]]","[[0.976, 1.166], [1.312, 0.942]]"
"[[0.202, 0.781], [0.855, 0.144]]","[[0.786, 0.171], [0.828, 0.859]]","[[0.988, 0.9520000000000001], [1.6829999999999998, 1.003]]"
"[[0.218, 0.746], [0.306, 0.423]]","[[0.222, 0.653], [0.662, 0.812]]","[[0.44, 1.399], [0.968, 1.235]]"
"[[0.353, 0.095], [0.107, 0.898]]","[[0.948, 0.866], [0.407, 0.632]]","[[1.301, 0.961], [0.514, 1.53]]"
"[[0.618, 0.469], [0.23, 0.488]]","[[0.782, 0.912], [0.216, 0.957]]","[[1.4, 1.381], [0.446, 1.4449999999999998]]"
"[[0.974, 0.138], [0.509, 0.29]]","[[0.041, 0.46], [0.638, 0.595]]","[[1.015, 0.5980000000000001], [1.147, 0.885]]"
"[[0.496, 0.812], [0.015, 0.282]]","[[0.137, 0.819], [0.224, 0.681]]","[[0.633, 1.631], [0.239, 0.9630000000000001]]"
"[[0.006, 0.261], [0.83, 0.552]]","[[0.368, 0.557], [0.454, 0.133]]","[[0.374, 0.8180000000000001], [1.284, 0.685]]"
"[[0.986, 0.625], [0.163, 0.289]]","[[0.194, 0.267], [0.962, 0.36]]","[[1.18, 0.892], [1.125, 0.649]]"
"[[0.782, 0.534], [0.603, 0.97]]","[[0.472, 0.075], [0.797, 0.551]]","[[1.254, 0.609], [1.4, 1.521]]"
"[[0.924, 0.189], [0.004, 0.836]]","[[0.678, 0.127], [0.509, 0.169]]","[[1.602, 0.316], [0.513, 1.005]]"
"[[0.73, 0.109], [0.743, 0.679]]","[[0.777, 0.513], [0.801, 0.289]]","[[1.5070000000000001, 0.622], [1.544, 0.968]]"
"[[0.477, 0.612], [0.838, 0.412]]","[[0.36, 0.85], [0.115, 0.033]]","[[0.837, 1.462], [0.953, 0.44499999999999995]]"
"[[0.143, 0.539], [0.11, 0.129]]","[[0.672, 0.119], [0.651, 0.719]]","[[0.8150000000000001, 0.658], [0.761, 0.848]]"
"[[0.309, 0.952], [0.417, 0.731]]","[[0.914, 0.516], [0.553, 0.798]]","[[1.223, 1.468], [0.97, 1.529]]"
"[[0.482, 0.406], [0.115, 0.532]]","[[0.759, 0.737], [0.522, 0.564]]","[[1.241, 1.143], [0.637, 1.096]]"
"[[0.002, 0.247], [0.794, 0.325]]","[[0.803, 0.95], [0.857, 0.486]]","[[0.805, 1.197], [1.651, 0.8109999999999999]]"
"[[0.168, 0.224], [0.197, 0.057]]","[[0.544, 0.309], [0.726, 0.729]]","[[0.7120000000000001, 0.533], [0.923, 0.786]]"
"[[0.797, 0.507], [0.945, 0.357]]","[[0.75, 0.43], [0.112, 0.27]]","[[1.5470000000000002, 0.937], [1.057, 0.627]]"
"[[0.31, 0.216], [0.098, 0.068]]","[[0.339, 0.85], [0.731, 0.605]]","[[0.649, 1.066], [0.829, 0.673]]"
"[[0.341, 0.906], [0.819, 0.917]]","[[0.009, 0.71], [0.753, 0.888]]","[[0.35000000000000003, 1.616], [1.572, 1.8050000000000002]]"
"[[0.845, 0.553], [0.668, 0.77]]","[[0.658, 0.242], [0.813, 0.661]]","[[1.5030000000000001, 0.795], [1.4809999999999999, 1.431]]"
"[[0.206, 0.756], [0.204, 0.911]]","[[0.482, 0.057], [0.504, 0.169]]","[[0.688, 0.8130000000000001], [0.708, 1.08]]"
"[[0.565, 0.408], [0.112, 0.97]]","[[0.386, 0.872], [0.78, 0.687]]","[[0.951, 1.28], [0.892, 1.657]]"
"[[0.066, 0.968], [0.334, 0.984]]","[[0.545, 0.458], [0.625, 0.278]]","[[0.611, 1.426], [0.9590000000000001, 1.262]]"
"[[0.166, 0.559], [0.282, 0.808]]","[[0.651, 0.945], [0.188, 0.473]]","[[0.8170000000000001, 1.504], [0.47, 1.2810000000000001]]"
"[[0.898, 0.778], [0.594, 0.491]]","[[0.593, 0.55], [0.977, 0.498]]","[[1.491, 1.328], [1.571, 0.989]]"
"[[0.123, 0.39], [0.13, 0.152]]","[[0.161, 0.296], [0.669, 0.744]]","[[0.28400000000000003, 0.6859999999999999], [0.799, 0.896]]"
"[[0.366, 0.098], [0.331, 0.035]]","[[0.265, 0.632], [0.451, 0.088]]","[[0.631, 0.73], [0.782, 0.123]]"
"[[0.022, 0.522], [0.911, 0.409]]","[[0.7, 0.866], [0.768, 0.712]]","[[0.722, 1.388], [1.679, 1.121]]"
"[[0.062, 0.255], [0.959, 0.31]]","[[0.066, 0.083], [0.762, 0.649]]","[[0.128, 0.338], [1.721, 0.9590000000000001]]"
"[[0.428, 0.82], [0.414, 0.555]]","[[0.54, 0.097], [0.952, 0.255]]","[[0.968, 0.9169999999999999], [1.3659999999999999, 0.81]]"
"[[0.041, 0.605], [0.532, 0.48]]","[[0.447, 0.759], [0.956, 0.156]]","[[0.488, 1.3639999999999999], [1.488, 0.636]]"
"[[0.814, 0.202], [0.925, 0.593]]","[[0.125, 0.738], [0.176, 0.433]]","[[0.939, 0.94], [1.101, 1.026]]"
"[[0.053, 0.842], [0.349, 0.534]]","[[0.697, 0.853], [0.084, 0.368]]","[[0.75, 1.6949999999999998], [0.433, 0.902]]"
"[[0.79, 0.017], [0.077, 0.791]]","[[0.327, 0.841], [0.829, 0.534]]","[[1.117, 0.858], [0.9059999999999999, 1.3250000000000002]]"
"[[0.183, 0.384], [0.624, 0.945]]","[[0.831, 0.157], [0.476, 0.168]]","[[1.014, 0.541], [1.1, 1.113]]"
"[[0.098, 0.515], [0.021, 0.851]]","[[0.52, 0.802], [0.35, 0.459]]","[[0.618, 1.3170000000000002], [0.371, 1.31]]"
"[[0.861, 0.783], [0.15, 0.198]]","[[0.516, 0.923], [0.9, 0.284]]","[[1.377, 1.706], [1.05, 0.482]]"
"[[0.796, 0.535], [0.695, 0.502]]","[[0.688, 0.689], [0.603, 0.835]]","[[1.484, 1.224], [1.298, 1.337]]"
"[[0.525, 0.992], [0.917, 0.649]]","[[0.303, 0.604], [0.189, 0.155]]","[[0.8280000000000001, 1.596], [1.106, 0.804]]"
"[[0.702, 0.925], [0.437, 0.053]]","[[0.436, 0.571], [0.574, 0.939]]","[[1.138, 1.496], [1.011, 0.992]]"
"[[0.649, 0.311], [0.068, 0.009]]","[[0.982, 0.167], [0.235, 0.476]]","[[1.631, 0.478], [0.303, 0.485]]"
"[[0.086, 0.799], [0.934, 0.853]]","[[0.401, 0.892], [0.437, 0.354]]","[[0.487, 1.691], [1.371, 1.2069999999999999]]"
"[[0.593, 0.99], [0.605, 0.165]]","[[0.094, 0.324], [0.022, 0.974]]","[[0.6869999999999999, 1.314], [0.627, 1.139]]"
"[[0.05, 0.859], [0.084, 0.561]]","[[0.942, 0.741], [0.094, 0.144]]","[[0.992, 1.6], [0.178, 0.7050000000000001]]"
"[[0.012, 0.623], [0.808, 0.155]]","[[0.711, 0.036], [0.357, 0.418]]","[[0.723, 0.659], [1.165, 0.573]]"
"[[0.552, 0.966], [0.955, 0.554]]","[[0.158, 0.298], [0.655, 0.805]]","[[0.7100000000000001, 1.264], [1.6099999999999999, 1.359]]"
"[[0.194, 0.52], [0.162, 0.134]]","[[0.554, 0.089], [0.74, 0.313]]","[[0.748, 0.609], [0.902, 0.447]]"
"[[0.099, 0.028], [0.709, 0.396]]","[[0.826, 0.856], [0.414, 0.575]]","[[0.9249999999999999, 0.884], [1.123, 0.971]]"
"[[0.473, 0.437], [0.175, 0.292]]","[[0.407, 0.813], [0.528, 0.435]]","[[0.8799999999999999, 1.25], [0.7030000000000001, 0.727]]"
"[[0.314, 0.508], [0.25, 0.594]]","[[0.274, 0.61], [0.476, 0.557]]","[[0.5880000000000001, 1.1179999999999999], [0.726, 1.151]]"
"[[0.059, 0.987], [0.145, 0.38]]","[[0.689, 0.445], [0.532, 0.937]]","[[0.748, 1.432], [0.677, 1.3170000000000002]]"
"[[0.843, 0.662], [0.915, 0.2]]","[[0.888, 0.808], [0.187, 0.214]]","[[1.7309999999999999, 1.4700000000000002], [1.102, 0.41400000000000003]]"
"[[0.574, 0.269], [0.807, 0.183]]","[[0.566, 0.073], [0.451, 0.519]]","[[1.14, 0.342], [1.258, 0.702]]"
"[[0.389, 0.898], [0.566, 0.856]]","[[0.337, 0.131], [0.09, 0.001]]","[[0.726, 1.029], [0.6559999999999999, 0.857]]"
"[[0.793, 0.327], [0.137, 0.518]]","[[0.968, 0.529], [0.567, 0.139]]","[[1.7610000000000001, 0.8560000000000001], [0.704, 0.657]]"
"[[0.257, 0.409], [0.974, 0.572]]","[[0.179, 0.012], [0.553, 0.229]]","[[0.436, 0.421], [1.5270000000000001, 0.8009999999999999]]"
"[[0.046, 0.717], [0.017, 0.475]]","[[0.438, 0.748], [0.421, 0.255]]","[[0.484, 1.4649999999999999], [0.438, 0.73]]"
"[[0.593, 0.735], [0.009, 0.634]]","[[0.347, 0.092], [0.86, 0.942]]","[[0.94, 0.827], [0.869, 1.576]]"
"[[0.971, 0.274], [0.617, 0.607]]","[[0.131, 0.842], [0.948, 0.758]]","[[1.1019999999999999, 1.116], [1.565, 1.365]]"
"[[0.028, 0.271], [0.25, 0.694]]","[[0.882, 0.376], [0.661, 0.466]]","[[0.91, 0.647], [0.911, 1.16]]"
"[[0.464, 0.415], [0.722, 0.465]]","[[0.242, 0.503], [0.851, 0.395]]","[[0.706, 0.9179999999999999], [1.573, 0.8600000000000001]]"
"[[0.931, 0.478], [0.242, 0.516]]","[[0.904, 0.302], [0.498, 0.804]]","[[1.835, 0.78], [0.74, 1.32]]"
"[[0.482, 0.727], [0.372, 0.34]]","[[0.076, 0.009], [0.428, 0.088]]","[[0.5579999999999999, 0.736], [0.8, 0.42800000000000005]]"
"[[0.796, 0.366], [0.848, 0.047]]","[[0.696, 0.04], [0.716, 0.773]]","[[1.492, 0.40599999999999997], [1.564, 0.8200000000000001]]"
"[[0.607, 0.062], [0.613, 0.604]]","[[0.159, 0.533], [0.519, 0.643]]","[[0.766, 0.595], [1.1320000000000001, 1.2469999999999999]]"
"[[0.796, 0.733], [0.834, 0.014]]","[[0.494, 0.493], [0.87, 0.702]]","[[1.29, 1.226], [1.704, 0.716]]"
"[[0.455, 0.993], [0.841, 0.487]]","[[0.877, 0.509], [0.09, 0.393]]","[[1.332, 1.502], [0.9309999999999999, 0.88]]"
"[[0.824, 0.368], [0.352, 0.39]]","[[0.665, 0.187], [0.203, 0.331]]","[[1.4889999999999999, 0.5549999999999999], [0.5549999999999999, 0.7210000000000001]]"
"[[0.19, 0.818], [0.631, 0.255]]","[[0.33, 0.626], [0.69, 0.761]]","[[0.52, 1.444], [1.321, 1.016]]"
"[[0.134, 0.668], [0.466, 0.735]]","[[0.928, 0.475], [0.674, 0.334]]","[[1.062, 1.143], [1.1400000000000001, 1.069]]"
"[[0.211, 0.435], [0.509, 0.745]]","[[0.997, 0.113], [0.206, 0.402]]","[[1.208, 0.548], [0.715, 1.147]]"
"[[0.362, 0.621], [0.581, 0.719]]","[[0.634, 0.865], [0.366, 0.416]]","[[0.996, 1.486], [0.947, 1.135]]"
"[[0.386, 0.354], [0.631, 0.585]]","[[0.075, 0.503], [0.939, 0.152]]","[[0.461, 0.857], [1.5699999999999998, 0.737]]"
"[[0.557, 0.057], [0.307, 0.535]]","[[0.981, 0.814], [0.004, 0.641]]","[[1.538, 0.871], [0.311, 1.1760000000000002]]"
"[[0.616, 0.103], [0.358, 0.798]]","[[0.995, 0.304], [0.479, 0.537]]","[[1.611, 0.407], [0.837, 1.335]]"
"[[0.774, 0.29], [0.729, 0.878]]","[[0.387, 0.089], [0.495, 0.296]]","[[1.161, 0.379], [1.224, 1.174]]"
"[[0.768, 0.706], [0.729, 0.971]]","[[0.511, 0.697], [0.24, 0.872]]","[[1.279, 1.403], [0.969, 1.843]]"
"[[0.98, 0.435], [0.376, 0.883]]","[[0.256, 0.784], [0.409, 0.709]]","[[1.236, 1.219], [0.7849999999999999, 1.592]]"
"[[0.338, 0.626], [0.115, 0.029]]","[[0.796, 0.027], [0.711, 0.265]]","[[1.1340000000000001, 0.653], [0.826, 0.29400000000000004]]"
"[[0.146, 0.436], [0.997, 0.846]]","[[0.846, 0.385], [0.375, 0.385]]","[[0.992, 0.821], [1.3719999999999999, 1.2309999999999999]]"
"[[0.87, 0.431], [0.392, 0.313]]","[[0.03, 0.691], [0.218, 0.921]]","[[0.9, 1.1219999999999999], [0.61, 1.234]]"
"[[0.043, 0.874], [0.691, 0.259]]","[[0.776, 0.309], [0.634, 0.336]]","[[0.8190000000000001, 1.183], [1.325, 0.595]]"
"[[0.075, 0.772], [0.853, 0.686]]","[[0.47, 0.585], [0.533, 0.14]]","[[0.5449999999999999, 1.357], [1.3860000000000001, 0.8260000000000001]]"
"[[0.049, 0.34], [0.785, 0.651]]","[[0.474, 0.926], [0.788, 0.108]]","[[0.523, 1.266], [1.573, 0.759]]"
"[[0.635, 0.636], [0.008, 0.636]]","[[0.883, 0.864], [0.672, 0.921]]","[[1.518, 1.5], [0.68, 1.557]]"
"[[0.029, 0.7], [0.427, 0.373]]","[[0.637, 0.629], [0.203, 0.12]]","[[0.666, 1.329], [0.63, 0.493]]"
"[[0.807, 0.695], [0.034, 0.923]]","[[0.27, 0.176], [0.419, 0.642]]","[[1.077, 0.871], [0.45299999999999996, 1.565]]"
"[[0.731, 0.427], [0.886, 0.453]]","[[0.063, 0.922], [0.485, 0.645]]","[[0.794, 1.349], [1.371, 1.098]]"
"[[0.043, 0.867], [0.502, 0.068]]","[[0.18, 0.554], [0.2, 0.079]]","[[0.22299999999999998, 1.421], [0.702, 0.14700000000000002]]"
"[[0.846, 0.166], [0.792, 0.253]]","[[0.404, 0.422], [0.309, 0.377]]","[[1.25, 0.588], [1.101, 0.63]]"
"[[0.072, 0.531], [0.149, 0.524]]","[[0.507, 0.884], [0.859, 0.565]]","[[0.579, 1.415], [1.008, 1.089]]"
"[[0.915, 0.278], [0.556, 0.022]]","[[0.248, 0.548], [0.975, 0.256]]","[[1.163, 0.8260000000000001], [1.5310000000000001, 0.278]]"
"[[0.845, 0.739], [0.671, 0.685]]","[[0.87, 0.593], [0.19, 0.774]]","[[1.7149999999999999, 1.3319999999999999], [0.861, 1.459]]"
"[[0.74, 0.669], [0.153, 0.419]]","[[0.119, 0.555], [0.618, 0.699]]","[[0.859, 1.2240000000000002], [0.771, 1.1179999999999999]]"
"[[0.393, 0.349], [0.665, 0.371]]","[[0.471, 0.075], [0.513, 0.987]]","[[0.864, 0.424], [1.178, 1.358]]"
"[[0.771, 0.341], [0.475, 0.654]]","[[0.428, 0.375], [0.276, 0.076]]","[[1.199, 0.716], [0.751, 0.73]]"
"[[0.827, 0.77], [0.451, 0.828]]","[[0.595, 0.045], [0.889, 0.836]]","[[1.422, 0.8150000000000001], [1.34, 1.664]]"
"[[0.28, 0.371], [0.405, 0.844]]","[[0.538, 0.28], [0.044, 0.636]]","[[0.8180000000000001, 0.651], [0.449, 1.48]]"
"[[0.5, 0.534], [0.391, 0.513]]","[[0.268, 0.575], [0.265, 0.074]]","[[0.768, 1.109], [0.656, 0.587]]"
"[[0.744, 0.932], [0.724, 0.857]]","[[0.893, 0.233], [0.678, 0.154]]","[[1.637, 1.165], [1.4020000000000001, 1.011]]"
"[[0.318, 0.149], [0.29, 0.403]]","[[0.249, 0.167], [0.936, 0.695]]","[[0.567, 0.316], [1.226, 1.0979999999999999]]"
"[[0.137, 0.288], [0.533, 0.26]]","[[0.702, 0.118], [0.224, 0.874]]","[[0.839, 0.40599999999999997], [0.757, 1.134]]"
"[[0.144, 0.83], [0.091, 0.535]]","[[0.416, 0.66], [0.965, 0.951]]","[[0.5599999999999999, 1.49], [1.056, 1.486]]"
"[[0.996, 0.589], [0.997, 0.372]]","[[0.148, 0.251], [0.026, 0.626]]","[[1.144, 0.84], [1.023, 0.998]]"
"[[0.861, 0.413], [0.753, 0.254]]","[[0.713, 0.743], [0.716, 0.847]]","[[1.5739999999999998, 1.156], [1.4689999999999999, 1.101]]"
"[[0.822, 0.894], [0.802, 0.824]]","[[0.881, 0.104], [0.032, 0.305]]","[[1.7029999999999998, 0.998], [0.8340000000000001, 1.129]]"
"[[0.448, 0.302], [0.895, 0.722]]","[[0.347, 0.451], [0.427, 0.945]]","[[0.7949999999999999, 0.753], [1.322, 1.6669999999999998]]"
"[[0.893, 0.763], [0.958, 0.907]]","[[0.429, 0.508], [0.051, 0.8]]","[[1.322, 1.271], [1.009, 1.707]]"
"[[0.112, 0.833], [0.471, 0.805]]","[[0.093, 0.599], [0.08, 0.362]]","[[0.20500000000000002, 1.432], [0.5509999999999999, 1.167]]"
"[[0.899, 0.333], [0.88, 0.278]]","[[0.832, 0.606], [0.627, 0.697]]","[[1.7309999999999999, 0.9390000000000001], [1.5070000000000001, 0.975]]"
"[[0.024, 0.064], [0.937, 0.404]]","[[0.222, 0.101], [0.791, 0.213]]","[[0.246, 0.165], [1.7280000000000002, 0.617]]"
"[[0.701, 0.263], [0.911, 0.725]]","[[0.774, 0.473], [0.841, 0.101]]","[[1.475, 0.736], [1.752, 0.826]]"
"[[0.979, 0.664], [0.405, 0.766]]","[[0.217, 0.764], [0.356, 0.924]]","[[1.196, 1.428], [0.761, 1.69]]"
"[[0.385, 0.281], [0.068, 0.457]]","[[0.702, 0.425], [0.185, 0.47]]","[[1.087, 0.706], [0.253, 0.927]]"
"[[0.675, 0.182], [0.721, 0.382]]","[[0.524, 0.113], [0.965, 0.754]]","[[1.199, 0.295], [1.686, 1.1360000000000001]]"
"[[0.807, 0.562], [0.095, 0.199]]","[[0.948, 0.779], [0.229, 0.277]]","[[1.755, 1.3410000000000002], [0.324, 0.47600000000000003]]"
"[[0.723, 0.64], [0.521, 0.214]]","[[0.407, 0.224], [0.608, 0.035]]","[[1.13, 0.864], [1.129, 0.249]]"
"[[0.355, 0.592], [0.091, 0.838]]","[[0.772, 0.677], [0.041, 0.606]]","[[1.127, 1.2690000000000001], [0.132, 1.444]]"
"[[0.912, 0.979], [0.435, 0.8]]","[[0.648, 0.589], [0.324, 0.46]]","[[1.56, 1.568], [0.759, 1.26]]"
"[[0.959, 0.405], [0.03, 0.694]]","[[0.285, 0.214], [0.183, 0.495]]","[[1.244, 0.619], [0.213, 1.189]]"
"[[0.601, 0.459], [0.572, 0.4]]","[[0.942, 0.193], [0.313, 0.382]]","[[1.543, 0.652], [0.885, 0.782]]"
"[[0.49, 0.622], [0.458, 0.23]]","[[0.761, 0.722], [0.17, 0.913]]","[[1.251, 1.3439999999999999], [0.628, 1.143]]"
"[[0.278, 0.116], [0.048, 0.113]]","[[0.845, 0.583], [0.309, 0.923]]","[[1.123, 0.699], [0.357, 1.036]]"
"[[0.05, 0.168], [0.095, 0.589]]","[[0.48, 0.86], [0.85, 0.971]]","[[0.53, 1.028], [0.945, 1.56]]"
"[[0.512, 0.822], [0.804, 0.797]]","[[0.213, 0.447], [0.469, 0.96]]","[[0.725, 1.269], [1.2730000000000001, 1.7570000000000001]]"
"[[0.459, 0.256], [0.439, 0.502]]","[[0.139, 0.06], [0.979, 0.142]]","[[0.5980000000000001, 0.316], [1.418, 0.644]]"
"[[0.018, 0.856], [0.287, 0.681]]","[[0.462, 0.821], [0.744, 0.873]]","[[0.48000000000000004, 1.677], [1.031, 1.554]]"
"[[0.038, 0.675], [0.806, 0.744]]","[[0.928, 0.986], [0.412, 0.131]]","[[0.9660000000000001, 1.661], [1.218, 0.875]]"
"[[0.073, 0.952], [0.789, 0.282]]","[[0.979, 0.853], [0.733, 0.567]]","[[1.052, 1.805], [1.522, 0.849]]"
"[[0.501, 0.392], [0.967, 0.626]]","[[0.825, 0.249], [0.223, 0.476]]","[[1.326, 0.641], [1.19, 1.1019999999999999]]"
"[[0.683, 0.313], [0.204, 0.94]]","[[0.939, 0.584], [0.714, 0.126]]","[[1.6219999999999999, 0.897], [0.9179999999999999, 1.0659999999999998]]"
"[[0.168, 0.159], [0.34, 0.753]]","[[0.761, 0.501], [0.417, 0.928]]","[[0.929, 0.66], [0.757, 1.681]]"
"[[0.659, 0.563], [0.573, 0.453]]","[[0.696, 0.662], [0.673, 0.112]]","[[1.355, 1.225], [1.246, 0.5650000000000001]]"
"[[0.42, 0.021], [0.376, 0.771]]","[[0.233, 0.367], [0.097, 0.278]]","[[0.653, 0.388], [0.473, 1.049]]"
"[[0.091, 0.857], [0.796, 0.064]]","[[0.13, 0.22], [0.783, 0.404]]","[[0.221, 1.077], [1.5790000000000002, 0.468]]"
"[[0.341, 0.637], [0.001, 0.887]]","[[0.755, 0.103], [0.155, 0.802]]","[[1.096, 0.74], [0.156, 1.689]]"
"[[0.133, 0.054], [0.225, 0.336]]","[[0.779, 0.983], [0.8, 0.775]]","[[0.912, 1.037], [1.0250000000000001, 1.111]]"
"[[0.762, 0.979], [0.35, 0.626]]","[[0.707, 0.735], [0.323, 0.884]]","[[1.4689999999999999, 1.714], [0.673, 1.51]]"
