td_a,td_b,td_ttd_a_MR_ADD,td_ttd_b_MR_ADD,td_ttd_a_MR_EXC,td_ttd_b_MR_EXC,td_ttd_a_MR_INC,td_ttd_b_MR_INC,td_ttd_a_MR_INV,td_ttd_b_MR_INV,td_ttd_a_MR_MUL,td_ttd_b_MR_MUL,td_ttd_a_MR_PER,td_ttd_b_MR_PER,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
"[13, -1, -1, 4, 3, -1, -5, -8]","[1, 5, -3, 13, 9, -5, 5, -7]","[17, 3, 3, 8, 7, 3, -1, -4]","[5, 9, 1, 17, 13, -1, 9, -3]","[13, -1, -1, 4, -1, -5, -8]","[1, 5, -3, 13, -5, 5, -7]","[13, -1, -1, 4, 3, 4, -1, -5, -8]","[1, 5, -3, 13, 9, 4, -5, 5, -7]","[13, -1, -1, 4, 3, -1, -5, -8, 0.0769230769, -1.0, -1.0, 0.25, 0.33333333330000003, -1.0, -0.2, -0.125]","[1, 5, -3, 13, 9, -5, 5, -7, 1.0, 0.2, -0.33333333330000003, 0.0769230769, 0.1111111111, -0.2, 0.2, -0.1428571429]","[52, -4, -4, 16, 12, -4, -20, -32]","[4, 20, -12, 52, 36, -20, 20, -28]","[-1, -5, -8, 4, 13, -1, 3, -1]","[5, -5, 9, 13, -3, 5, 1, -7]",5.1198879552,5.7794117647,4.3483116883,5.1198879552,10.2397759104,5.1198879552,4.6198879552,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
"[1, -7, 4, -1, 2, -3, 2, -6, 6, 1, -7, 6, -6]","[5, 4, 5, 5, 1, 3, 2, -4, -8, -8, 1, 6, -6]","[5, -3, 8, 3, 6, 1, 6, -2, 10, 5, -3, 10, -2]","[9, 8, 9, 9, 5, 7, 6, 0, -4, -4, 5, 10, -2]","[1, -7, 4, -1, 2, -3, 2, -6, 1, -7, 6, -6]","[5, 4, 5, 5, 1, 3, 2, -4, -8, 1, 6, -6]","[1, -7, 4, -1, 2, -3, 2, -6, 4, 6, 1, -7, 6, -6]","[5, 4, 5, 5, 1, 3, 2, -4, 4, -8, -8, 1, 6, -6]","[1, -7, 4, -1, 2, -3, 2, -6, 6, 1, -7, 6, -6, 1.0, -0.1428571429, 0.25, -1.0, 0.5, -0.33333333330000003, 0.5, -0.1666666667, 0.1666666667, 1.0, -0.1428571429, 0.1666666667, -0.1666666667]","[5, 4, 5, 5, 1, 3, 2, -4, -8, -8, 1, 6, -6, 0.2, 0.25, 0.2, 0.2, 1.0, 0.33333333330000003, 0.5, -0.25, -0.125, -0.125, 1.0, 0.1666666667, -0.1666666667]","[4, -28, 16, -4, 8, -12, 8, -24, 24, 4, -28, 24, -24]","[20, 16, 20, 20, 4, 12, 8, -16, -32, -32, 4, 24, -24]","[2, -1, 1, -7, -6, 2, 1, -6, -3, 6, 4, 6, -7]","[-8, 3, 5, 1, -8, 4, -6, -4, 5, 6, 5, 2, 1]",7.3111111111,7.953968254,6.685446906,7.3111111111,14.6222222222,7.3111111111,6.3111111111,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
"[3, 2, 8, 9]","[0, 8, 1, -3]","[7, 6, 12, 13]","[4, 12, 5, 1]","[3, 8, 9]","[0, 1, -3]","[3, 2, 8, 9, 4]","[0, 8, 1, -3, 4]","[3, 2, 8, 9, 0.33333333330000003, 0.5, 0.125, 0.1111111111]","[0, 8, 1, -3, 'ZeroDivisionError', 0.125, 1.0, -0.33333333330000003]","[12, 8, 32, 36]","[0, 32, 4, -12]","[2, 9, 8, 3]","[1, 8, 0, -3]",3.3777777778,2.3921568627,1.8749681691000002,3.3777777778,error,3.3777777778,2.7777777778,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
[],[],[],[],[],[],[4],[4],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
"[-10, -10, 3, -3, 2, -8, 2, -4, -7, 0, -1, -7, -3]","[-4, -3, -7, 1, -7, 0, 1, -7, -5, -9, -9, -7, 1]","[-6, -6, 7, 1, 6, -4, 6, 0, -3, 4, 3, -3, 1]","[0, 1, -3, 5, -3, 4, 5, -3, -1, -5, -5, -3, 5]","[-10, -10, 3, -3, 2, 2, -4, -7, 0, -1, -7, -3]","[-4, -3, -7, 1, -7, 1, -7, -5, -9, -9, -7, 1]","[-10, -10, 3, -3, 2, -8, 2, 4, -4, -7, 0, -1, -7, -3]","[-4, -3, -7, 1, -7, 0, 1, 4, -7, -5, -9, -9, -7, 1]","[-10, -10, 3, -3, 2, -8, 2, -4, -7, 0, -1, -7, -3, -0.1, -0.1, 0.33333333330000003, -0.33333333330000003, 0.5, -0.125, 0.5, -0.25, -0.1428571429, 'ZeroDivisionError', -1.0, -0.1428571429, -0.33333333330000003]","[-4, -3, -7, 1, -7, 0, 1, -7, -5, -9, -9, -7, 1, -0.25, -0.33333333330000003, -0.1428571429, 1.0, -0.1428571429, 'ZeroDivisionError', 1.0, -0.1428571429, -0.2, -0.1111111111, -0.1111111111, -0.1428571429, 1.0]","[-40, -40, 12, -12, 8, -32, 8, -16, -28, 0, -4, -28, -12]","[-16, -12, -28, 4, -28, 0, 4, -28, -20, -36, -36, -28, 4]","[3, -4, -10, -7, 2, -3, 0, -7, -3, 2, -10, -1, -8]","[-5, 0, -4, -7, -7, 1, -3, 1, -7, -7, -9, -9, 1]",8.5397602398,9.6812030075,9.9242424242,8.5397602398,error,8.5397602398,7.5397602398,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
"[4, 1, -1]","[-5, -9, -3]","[8, 5, 3]","[-1, -5, 1]","[1, -1]","[-9, -3]","[4, 1, 4, -1]","[-5, -9, 4, -3]","[4, 1, -1, 0.25, 1.0, -1.0]","[-5, -9, -3, -0.2, -0.1111111111, -0.33333333330000003]","[16, 4, -4]","[-20, -36, -12]","[1, 4, -1]","[-5, -9, -3]",2.5,2.5,2.5,2.5,5.0,2.5,1.5,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
"[6, 5, 1, -3, -6, 6, -8, 5, 3, 9, 14, -10, 1, -9]","[9, 9, -9, 8, 2, -5, -10, 7, 14, 9, -6, -6, 12, -6]","[10, 9, 5, 1, -2, 10, -4, 9, 7, 13, 18, -6, 5, -5]","[13, 13, -5, 12, 6, -1, -6, 11, 18, 13, -2, -2, 16, -2]","[6, 5, -3, -6, 6, -8, 5, 3, 9, 14, -10, 1, -9]","[9, 9, 8, 2, -5, -10, 7, 14, 9, -6, -6, 12, -6]","[6, 5, 4, 1, -3, -6, 6, -8, 5, 3, 9, 14, -10, 1, -9]","[9, 9, 4, -9, 8, 2, -5, -10, 7, 14, 9, -6, -6, 12, -6]","[6, 5, 1, -3, -6, 6, -8, 5, 3, 9, 14, -10, 1, -9, 0.1666666667, 0.2, 1.0, -0.33333333330000003, -0.1666666667, 0.1666666667, -0.125, 0.2, 0.33333333330000003, 0.1111111111, 0.0714285714, -0.1, 1.0, -0.1111111111]","[9, 9, -9, 8, 2, -5, -10, 7, 14, 9, -6, -6, 12, -6, 0.1111111111, 0.1111111111, -0.1111111111, 0.125, 0.5, -0.2, -0.1, 0.1428571429, 0.0714285714, 0.1111111111, -0.1666666667, -0.1666666667, 0.0833333333, -0.1666666667]","[24, 20, 4, -12, -24, 24, -32, 20, 12, 36, 56, -40, 4, -36]","[36, 36, -36, 32, 8, -20, -40, 28, 56, 36, -24, -24, 48, -24]","[3, 5, -6, 14, -8, 1, 9, -3, 6, 1, -10, -9, 6, 5]","[-10, 14, 8, -6, 2, 7, -6, 9, -6, 9, 9, 12, -9, -5]",7.7067047332000005,13.0236842105,7.350787763,7.7067047332000005,15.4134094664,7.7067047332000005,6.7067047332000005,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
"[8, 5, 6, -2, -3, 12, -8, 12]","[-1, 11, 3, 4, 0, -9, -5, 13]","[12, 9, 10, 2, 1, 16, -4, 16]","[3, 15, 7, 8, 4, -5, -1, 17]","[8, 5, 6, -3, 12, -8, 12]","[-1, 11, 3, 0, -9, -5, 13]","[8, 5, 6, -2, -3, 12, 4, -8, 12]","[-1, 11, 3, 4, 0, -9, 4, -5, 13]","[8, 5, 6, -2, -3, 12, -8, 12, 0.125, 0.2, 0.1666666667, -0.5, -0.33333333330000003, 0.0833333333, -0.125, 0.0833333333]","[-1, 11, 3, 4, 0, -9, -5, 13, -1.0, 0.0909090909, 0.33333333330000003, 0.25, 'ZeroDivisionError', -0.1111111111, -0.2, 0.0769230769]","[32, 20, 24, -8, -12, 48, -32, 48]","[-4, 44, 12, 16, 0, -36, -20, 52]","[5, 8, 6, 12, 12, -8, -2, -3]","[-5, 3, 11, 13, 0, 4, -9, -1]",4.9791025641,4.925026738,3.8567736185,4.9791025641,error,4.9791025641,3.9791025641,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
"[3, -7, -10, -2]","[0, -2, -4, 3]","[7, -3, -6, 2]","[4, 2, 0, 7]","[3, -10, -2]","[0, -4, 3]","[4, 3, -7, -10, -2]","[4, 0, -2, -4, 3]","[3, -7, -10, -2, 0.33333333330000003, -0.1428571429, -0.1, -0.5]","[0, -2, -4, 3, 'ZeroDivisionError', -0.5, -0.25, 0.33333333330000003]","[12, -28, -40, -8]","[0, -8, -16, 12]","[-10, -2, 3, -7]","[0, -2, -4, 3]",2.9841269841,3.0,2.8282828283,2.9841269841,error,2.9841269841,2.4285714286,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
"[11, 4, 5, 5, 7, -7]","[5, 0, -3, -2, -3, 2]","[15, 8, 9, 9, 11, -3]","[9, 4, 1, 2, 1, 6]","[11, 4, 5, 5, 7]","[5, 0, -3, -2, -3]","[11, 4, 5, 5, 4, 7, -7]","[5, 0, -3, -2, 4, -3, 2]","[11, 4, 5, 5, 7, -7, 0.0909090909, 0.25, 0.2, 0.2, 0.1428571429, -0.1428571429]","[5, 0, -3, -2, -3, 2, 0.2, 'ZeroDivisionError', -0.33333333330000003, -0.5, -0.33333333330000003, 0.5]","[44, 16, 20, 20, 28, -28]","[20, 0, -12, -8, -12, 8]","[5, 7, 11, -7, 5, 4]","[0, 5, -3, 2, -2, -3]",5.375,5.1666666667,3.853030303,5.375,error,5.375,4.375,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
"[15, -5, 5, -2, -6, 5, -3, 8, 9, 9, -10, 4, 7]","[-10, 4, 10, 2, 10, 6, -8, -1, 6, -2, 4, -6, 2]","[19, -1, 9, 2, -2, 9, 1, 12, 13, 13, -6, 8, 11]","[-6, 8, 14, 6, 14, 10, -4, 3, 10, 2, 8, -2, 6]","[15, -5, 5, -2, -6, -3, 8, 9, 9, -10, 4, 7]","[-10, 4, 10, 2, 10, -8, -1, 6, -2, 4, -6, 2]","[15, -5, 5, 4, -2, -6, 5, -3, 8, 9, 9, -10, 4, 7]","[-10, 4, 10, 4, 2, 10, 6, -8, -1, 6, -2, 4, -6, 2]","[15, -5, 5, -2, -6, 5, -3, 8, 9, 9, -10, 4, 7, 0.0666666667, -0.2, 0.2, -0.5, -0.1666666667, 0.2, -0.33333333330000003, 0.125, 0.1111111111, 0.1111111111, -0.1, 0.25, 0.1428571429]","[-10, 4, 10, 2, 10, 6, -8, -1, 6, -2, 4, -6, 2, -0.1, 0.25, 0.1, 0.5, 0.1, 0.1666666667, -0.125, -1.0, 0.1666666667, -0.5, 0.25, -0.1666666667, 0.5]","[60, -20, 20, -8, -24, 20, -12, 32, 36, 36, -40, 16, 28]","[-40, 16, 40, 8, 40, 24, -32, -4, 24, -8, 16, -24, 8]","[15, 5, 5, -5, 8, 4, -6, 7, -2, 9, -3, 9, -10]","[-6, 6, 10, -8, 4, -2, 4, 6, -1, -10, 2, 2, 10]",9.6343434343,8.034965035,8.5279086463,9.6343434343,19.2686868687,9.6343434343,9.5434343434,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
"[7, 3, 4, 10, 10, -5]","[6, 3, 4, 4, 8, 1]","[11, 7, 8, 14, 14, -1]","[10, 7, 8, 8, 12, 5]","[7, 3, 4, 10, 10]","[6, 3, 4, 4, 8]","[4, 7, 3, 4, 10, 10, -5]","[4, 6, 3, 4, 4, 8, 1]","[7, 3, 4, 10, 10, -5, 0.1428571429, 0.33333333330000003, 0.25, 0.1, 0.1, -0.2]","[6, 3, 4, 4, 8, 1, 0.1666666667, 0.33333333330000003, 0.25, 0.25, 0.125, 1.0]","[28, 12, 16, 40, 40, -20]","[24, 12, 16, 16, 32, 4]","[10, 7, 10, 3, -5, 4]","[8, 6, 1, 4, 3, 4]",1.6166056166,2.1490731491,1.3972693973,1.6166056166,3.2332112332,1.6166056166,0.6166056166,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
"[8, 4, -5, 8, 6, 3, 1, -4]","[3, 4, 0, 2, 5, 4, -5, 0]","[12, 8, -1, 12, 10, 7, 5, 0]","[7, 8, 4, 6, 9, 8, -1, 4]","[8, 4, -5, 8, 6, 3, 1]","[3, 4, 0, 2, 5, 4, -5]","[8, 4, -5, 8, 6, 3, 1, -4, 4]","[3, 4, 0, 2, 5, 4, -5, 0, 4]","[8, 4, -5, 8, 6, 3, 1, -4, 0.125, 0.25, -0.2, 0.125, 0.1666666667, 0.33333333330000003, 1.0, -0.25]","[3, 4, 0, 2, 5, 4, -5, 0, 0.33333333330000003, 0.25, 'ZeroDivisionError', 0.5, 0.2, 0.25, -0.2, 'ZeroDivisionError']","[32, 16, -20, 32, 24, 12, 4, -16]","[12, 16, 0, 8, 20, 16, -20, 0]","[1, 4, 8, -5, 8, 3, 6, -4]","[0, 3, 5, 4, 4, -5, 0, 2]",4.2883116883,5.706959707,3.7157894737,4.2883116883,error,4.2883116883,3.2883116883,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
"[-4, 2, -11, -4, -2, -11, -2, -1]","[-9, -7, -8, -7, -10, 4, -6, 0]","[0, 6, -7, 0, 2, -7, 2, 3]","[-5, -3, -4, -3, -6, 8, -2, 4]","[-4, 2, -11, -2, -11, -2, -1]","[-9, -7, -8, -10, 4, -6, 0]","[-4, 2, -11, -4, -2, -11, 4, -2, -1]","[-9, -7, -8, -7, -10, 4, 4, -6, 0]","[-4, 2, -11, -4, -2, -11, -2, -1, -0.25, 0.5, -0.0909090909, -0.25, -0.5, -0.0909090909, -0.5, -1.0]","[-9, -7, -8, -7, -10, 4, -6, 0, -0.1111111111, -0.1428571429, -0.125, -0.1428571429, -0.1, 0.25, -0.1666666667, 'ZeroDivisionError']","[-16, 8, -44, -16, -8, -44, -8, -4]","[-36, -28, -32, -28, -40, 16, -24, 0]","[-11, 2, -4, -11, -4, -2, -1, -2]","[-6, -7, 0, 4, -10, -9, -7, -8]",4.9819040609,5.709052712,6.4155844156,4.9819040609,error,4.9819040609,4.7091767881,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
"[-6, -9, 3, 7, -7, 7, -12, -9, -10, -11]","[9, 6, -4, 3, 14, -10, -3, -10, 11, -8]","[-2, -5, 7, 11, -3, 11, -8, -5, -6, -7]","[13, 10, 0, 7, 18, -6, 1, -6, 15, -4]","[-6, -9, 3, 7, -7, 7, -9, -10, -11]","[9, 6, -4, 3, 14, -10, -10, 11, -8]","[-6, -9, 3, 7, -7, 7, -12, 4, -9, -10, -11]","[9, 6, -4, 3, 14, -10, -3, 4, -10, 11, -8]","[-6, -9, 3, 7, -7, 7, -12, -9, -10, -11, -0.1666666667, -0.1111111111, 0.33333333330000003, 0.1428571429, -0.1428571429, 0.1428571429, -0.0833333333, -0.1111111111, -0.1, -0.0909090909]","[9, 6, -4, 3, 14, -10, -3, -10, 11, -8, 0.1111111111, 0.1666666667, -0.25, 0.33333333330000003, 0.0714285714, -0.1, -0.33333333330000003, -0.1, 0.0909090909, -0.125]","[-24, -36, 12, 28, -28, 28, -48, -36, -40, -44]","[36, 24, -16, 12, 56, -40, -12, -40, 44, -32]","[3, -9, 7, -10, -11, 7, -6, -12, -7, -9]","[14, 9, -3, -10, -10, 11, 6, 3, -8, -4]",7.2105263158,5.3681821447,7.5858585859000005,7.2105263158,14.4210526316,7.2105263158,6.6105263158,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
"[-4, 12, 3, 8, -5, 7, 12, -1]","[-5, 8, -1, 8, 11, 6, 4, 1]","[0, 16, 7, 12, -1, 11, 16, 3]","[-1, 12, 3, 12, 15, 10, 8, 5]","[12, 3, 8, -5, 7, 12, -1]","[8, -1, 8, 11, 6, 4, 1]","[-4, 12, 3, 8, -5, 7, 12, 4, -1]","[-5, 8, -1, 8, 11, 6, 4, 4, 1]","[-4, 12, 3, 8, -5, 7, 12, -1, -0.25, 0.0833333333, 0.33333333330000003, 0.125, -0.2, 0.1428571429, 0.0833333333, -1.0]","[-5, 8, -1, 8, 11, 6, 4, 1, -0.2, 0.125, -1.0, 0.125, 0.0909090909, 0.1666666667, 0.25, 1.0]","[-16, 48, 12, 32, -20, 28, 48, -4]","[-20, 32, -4, 32, 44, 24, 16, 4]","[8, 12, -5, 3, 7, 12, -4, -1]","[8, 1, -5, 8, -1, 4, 11, 6]",3.888034188,4.8006993007,3.1738095238,3.888034188,7.7760683761,3.888034188,3.7769230769,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
"[-14, -6, 3, 0, 3, 7, -10, -9, -5]","[3, -3, 2, 3, -12, -4, -3, -5, -15]","[-10, -2, 7, 4, 7, 11, -6, -5, -1]","[7, 1, 6, 7, -8, 0, 1, -1, -11]","[-14, -6, 3, 0, 3, 7, -10, -9]","[3, -3, 2, 3, -12, -4, -3, -5]","[-14, -6, 3, 0, 3, 7, -10, 4, -9, -5]","[3, -3, 2, 3, -12, -4, -3, 4, -5, -15]","[-14, -6, 3, 0, 3, 7, -10, -9, -5, -0.0714285714, -0.1666666667, 0.33333333330000003, 'ZeroDivisionError', 0.33333333330000003, 0.1428571429, -0.1, -0.1111111111, -0.2]","[3, -3, 2, 3, -12, -4, -3, -5, -15, 0.33333333330000003, -0.33333333330000003, 0.5, 0.33333333330000003, -0.0833333333, -0.25, -0.33333333330000003, -0.2, -0.0666666667]","[-56, -24, 12, 0, 12, 28, -40, -36, -20]","[12, -12, 8, 12, -48, -16, -12, -20, -60]","[-10, -9, -14, 7, -5, 3, -6, 0, 3]","[-4, 3, -3, -12, 3, -3, 2, -5, -15]",5.8575091575,8.0756302521,6.8496503497,5.8575091575,error,5.8575091575,5.3575091575,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
"[7, 1, -5, 6, 4, 5, 7, 7, 0, 7, -7, -4, 0]","[0, 7, -1, -1, 3, -1, 2, -2, 0, -3, -5, -6, 7]","[11, 5, -1, 10, 8, 9, 11, 11, 4, 11, -3, 0, 4]","[4, 11, 3, 3, 7, 3, 6, 2, 4, 1, -1, -2, 11]","[7, 1, -5, 4, 5, 7, 7, 0, 7, -7, -4, 0]","[0, 7, -1, 3, -1, 2, -2, 0, -3, -5, -6, 7]","[7, 4, 1, -5, 6, 4, 5, 7, 7, 0, 7, -7, -4, 0]","[0, 4, 7, -1, -1, 3, -1, 2, -2, 0, -3, -5, -6, 7]","[7, 1, -5, 6, 4, 5, 7, 7, 0, 7, -7, -4, 0, 0.1428571429, 1.0, -0.2, 0.1666666667, 0.25, 0.2, 0.1428571429, 0.1428571429, 'ZeroDivisionError', 0.1428571429, -0.1428571429, -0.25, 'ZeroDivisionError']","[0, 7, -1, -1, 3, -1, 2, -2, 0, -3, -5, -6, 7, 'ZeroDivisionError', 0.1428571429, -1.0, -1.0, 0.33333333330000003, -1.0, 0.5, -0.5, 'ZeroDivisionError', -0.33333333330000003, -0.2, -0.1666666667, 0.1428571429]","[28, 4, -20, 24, 16, 20, 28, 28, 0, 28, -28, -16, 0]","[0, 28, -4, -4, 12, -4, 8, -8, 0, -12, -20, -24, 28]","[7, -7, 1, -4, 7, 5, -5, 7, 0, 6, 0, 7, 4]","[7, 0, -1, -1, 0, 2, -3, -2, 3, 7, -5, -1, -6]",,9.3554945055,6.7332202112,,error,,,Violate,Violate,error,Violate,Violate,1,1,error,1,1
"[11, 4, -5, 18, 6]","[3, -6, 0, -3, 10]","[15, 8, -1, 22, 10]","[7, -2, 4, 1, 14]","[4, -5, 18, 6]","[-6, 0, -3, 10]","[11, 4, -5, 18, 6, 4]","[3, -6, 0, -3, 10, 4]","[11, 4, -5, 18, 6, 0.0909090909, 0.25, -0.2, 0.0555555556, 0.1666666667]","[3, -6, 0, -3, 10, 0.33333333330000003, -0.1666666667, 'ZeroDivisionError', -0.33333333330000003, 0.1]","[44, 16, -20, 72, 24]","[12, -24, 0, -12, 40]","[6, -5, 4, 11, 18]","[0, -3, 10, 3, -6]",3.8214285714000003,3.25,3.4433465086,3.8214285714000003,error,3.8214285714000003,3.25,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
"[-3, 4, -5, 10, -9, 7, -7, -12, -11]","[1, 6, -6, 14, -15, 11, -13, 6, 0]","[1, 8, -1, 14, -5, 11, -3, -8, -7]","[5, 10, -2, 18, -11, 15, -9, 10, 4]","[4, -5, 10, -9, 7, -7, -12, -11]","[6, -6, 14, -15, 11, -13, 6, 0]","[-3, 4, -5, 10, -9, 7, -7, -12, -11, 4]","[1, 6, -6, 14, -15, 11, -13, 6, 0, 4]","[-3, 4, -5, 10, -9, 7, -7, -12, -11, -0.33333333330000003, 0.25, -0.2, 0.1, -0.1111111111, 0.1428571429, -0.1428571429, -0.0833333333, -0.0909090909]","[1, 6, -6, 14, -15, 11, -13, 6, 0, 1.0, 0.1666666667, -0.1666666667, 0.0714285714, -0.0666666667, 0.0909090909, -0.0769230769, 0.1666666667, 'ZeroDivisionError']","[-12, 16, -20, 40, -36, 28, -28, -48, -44]","[4, 24, -24, 56, -60, 44, -52, 24, 0]","[7, -9, 10, 4, -7, -12, -11, -5, -3]","[-13, -15, 14, 6, 0, -6, 6, 11, 1]",4.2297979798,5.95,4.264957265,4.2297979798,error,4.2297979798,3.2297979798,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
[-14],[-2],[-10],[2],[],[],"[4, -14]","[4, -2]","[-14, -0.0714285714]","[-2, -0.5]",[-56],[-8],[-14],[-2],0.75,0.75,1.0,0.75,1.5,0.75,0.0,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
"[5, -4, -2, -2, -3, -4, -1, -3, -6, 0, -1]","[4, 5, -2, 0, 0, -2, -7, -1, -7, -2, -8]","[9, 0, 2, 2, 1, 0, 3, 1, -2, 4, 3]","[8, 9, 2, 4, 4, 2, -3, 3, -3, 2, -4]","[5, -2, -2, -3, -4, -1, -3, -6, 0, -1]","[4, -2, 0, 0, -2, -7, -1, -7, -2, -8]","[5, -4, -2, -2, -3, -4, 4, -1, -3, -6, 0, -1]","[4, 5, -2, 0, 0, -2, 4, -7, -1, -7, -2, -8]","[5, -4, -2, -2, -3, -4, -1, -3, -6, 0, -1, 0.2, -0.25, -0.5, -0.5, -0.33333333330000003, -0.25, -1.0, -0.33333333330000003, -0.1666666667, 'ZeroDivisionError', -1.0]","[4, 5, -2, 0, 0, -2, -7, -1, -7, -2, -8, 0.25, 0.2, -0.5, 'ZeroDivisionError', 'ZeroDivisionError', -0.5, -0.1428571429, -1.0, -0.1428571429, -0.5, -0.125]","[20, -16, -8, -8, -12, -16, -4, -12, -24, 0, -4]","[16, 20, -8, 0, 0, -8, -28, -4, -28, -8, -32]","[-3, 0, -4, -1, -2, -4, -2, -6, -1, 5, -3]","[-1, -7, -8, 4, 5, 0, -2, -7, -2, 0, -2]",6.5491452991,6.4435897436000005,6.0254901961,6.5491452991,error,6.5491452991,5.5491452991,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
"[-13, 4]","[9, 8]","[-9, 8]","[13, 12]",[4],[8],"[-13, 4, 4]","[9, 4, 8]","[-13, 4, -0.0769230769, 0.25]","[9, 8, 0.1111111111, 0.125]","[-52, 16]","[36, 32]","[4, -13]","[8, 9]",1.3333333333000001,1.3333333333000001,1.2,1.3333333333000001,2.6666666667000003,1.3333333333000001,0.33333333330000003,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
"[2, -4, 6, 8, -7, -6, -1, 10, 3, -3, 6, -3]","[3, 4, 2, -4, -2, -2, 6, -8, -6, 5, -9, -9]","[6, 0, 10, 12, -3, -2, 3, 14, 7, 1, 10, 1]","[7, 8, 6, 0, 2, 2, 10, -4, -2, 9, -5, -5]","[2, -4, 6, 8, -7, -6, -1, 3, -3, 6, -3]","[3, 4, 2, -4, -2, -2, 6, -6, 5, -9, -9]","[2, -4, 6, 4, 8, -7, -6, -1, 10, 3, -3, 6, -3]","[3, 4, 2, 4, -4, -2, -2, 6, -8, -6, 5, -9, -9]","[2, -4, 6, 8, -7, -6, -1, 10, 3, -3, 6, -3, 0.5, -0.25, 0.1666666667, 0.125, -0.1428571429, -0.1666666667, -1.0, 0.1, 0.33333333330000003, -0.33333333330000003, 0.1666666667, -0.33333333330000003]","[3, 4, 2, -4, -2, -2, 6, -8, -6, 5, -9, -9, 0.33333333330000003, 0.25, 0.5, -0.25, -0.5, -0.5, 0.1666666667, -0.125, -0.1666666667, 0.2, -0.1111111111, -0.1111111111]","[8, -16, 24, 32, -28, -24, -4, 40, 12, -12, 24, -12]","[12, 16, 8, -16, -8, -8, 24, -32, -24, 20, -36, -36]","[6, 2, 3, -1, 10, -6, 8, -4, -3, -7, -3, 6]","[2, -2, -9, 4, 6, -8, 3, -4, -2, 5, -6, -9]",9.2555555556,6.8807359307,9.6653846154,9.2555555556,18.5111111111,9.2555555556,8.2555555556,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
"[-1, 5, -12, -10, 0]","[-10, -9, -5, 6, 8]","[3, 9, -8, -6, 4]","[-6, -5, -1, 10, 12]","[5, -12, -10, 0]","[-9, -5, 6, 8]","[-1, 5, -12, -10, 0, 4]","[-10, -9, -5, 6, 8, 4]","[-1, 5, -12, -10, 0, -1.0, 0.2, -0.0833333333, -0.1, 'ZeroDivisionError']","[-10, -9, -5, 6, 8, -0.1, -0.1111111111, -0.2, 0.1666666667, 0.125]","[-4, 20, -48, -40, 0]","[-40, -36, -20, 24, 32]","[0, -1, -10, 5, -12]","[-10, 6, 8, -9, -5]",4.2299465241,4.4117647059,4.2777777778,4.2299465241,error,4.2299465241,3.4117647059,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
"[3, -7, -17, 7, -8]","[-2, -7, -13, -11, 6]","[7, -3, -13, 11, -4]","[2, -3, -9, -7, 10]","[3, -17, 7, -8]","[-2, -13, -11, 6]","[4, 3, -7, -17, 7, -8]","[4, -2, -7, -13, -11, 6]","[3, -7, -17, 7, -8, 0.33333333330000003, -0.1428571429, -0.058823529400000005, 0.1428571429, -0.125]","[-2, -7, -13, -11, 6, -0.5, -0.1428571429, -0.0769230769, -0.0909090909, 0.1666666667]","[12, -28, -68, 28, -32]","[-8, -28, -52, -44, 24]","[-7, -8, 3, 7, -17]","[6, -13, -7, -2, -11]",3.1333333333,3.4523809524,2.7373737374,3.1333333333,6.2666666667,3.1333333333,3.1333333333,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
